AphiaID,scientificnameaccepted
988,Serpulidae
989,Spirorbinae
1071,Malacostraca
1082,Cirripedia
1102,Harpacticoida
1109,Rhizocephala
1269,Echiura
1271,Entoprocta
1296,Sipunculidea
1302,Pycnogonida
1307,Insecta
1410,Foraminifera
1605,Aglaopheniidae
1648,Sipunculidae
1755,Pleurobranchidae
1839,Ascidiacea
2038,Enchytraeidae
2041,Hirudinea
2081,Chaetognatha
100653,Actiniidae
100665,Edwardsiidae
100684,Cerianthidae
100694,Actinia
100695,Anemonia
100991,Sagartia elegans
100994,Sagartia troglodytes
101002,Sagartiogeton undatus
101037,Epizoanthus papillosus
101095,Priapulus
101157,Priapulopsis bicaudatus
101160,Priapulus caudatus
101388,Isaeidae
101389,Ischyroceridae
101397,Melitidae
101400,Oedicerotidae
101430,Caprella
101450,Amphilochus
101455,Peltocoxa
101459,Ampithoe
101464,Aora
101469,Lembos
101470,Leptocheirus
101471,Microdeutopus
101489,Corophium
101497,Atylus
101498,Dexamine
101509,Apherusa
101546,Haustorius
101554,Iphimedia
101558,Gammaropsis
101563,Photis
101567,Ericthonius
101571,Jassa
101580,Leucothoe
101620,Lysianassa
101633,Orchomene
101653,Socarnes
101675,Maera
101679,Melita
101716,Harpinia
101704,Synchelidium
101770,Stenothoe
101822,Caprella acanthifera
101839,Caprella linearis
101858,Parvipalpus capillaceus
101871,Pseudoprotella phasma
101898,Ampelisca gibba
106670,Pleocyemata
106674,Caridea
101958,Haploops tubicola
101967,Amphilochus manudens
101977,Gitana sarsi
102002,Ampithoe rubricata
102009,Sunamphitoe pelagica
102012,Aora gracilis
102033,Lembos websteri
102036,Leptocheirus hirsutimanus
102039,Leptocheirus pectinatus
102040,Leptocheirus pilosus
102043,Microdeutopus anomalus
102053,Microdeutopus versiculatus
102119,Cressa dubia
102135,Dexamine spinosa
102136,Dexamine thea
102137,Guernea (Guernea) coalita
102160,Apherusa bispinosa
102345,Iphimedia minuta
102347,Iphimedia obesa
102363,Gammaropsis lobata
102369,Gammaropsis palmata
102377,Megamphopus cornutus
102431,Jassa falcata
110391,Iphinoe
102403,Ericthonius difformis
102408,Ericthonius punctatus
102412,Ischyrocerus anguipes
102433,Jassa marmorata
102439,Microjassa cumbrensis
102440,Parajassa pelagica
102611,Lysianassa plumosa
102485,Liljeborgia pallida
102502,Ambasia atlantica
102513,Anonyx lilljeborgi
102516,Anonyx sarsi
102604,Lysianassa caesarea
102605,Lysianassa ceratina
102725,Socarnes filicornis
102729,Sophrosyne robertsoni
102736,Tmetonyx cicada
102779,Tryphosites longipes
102794,Cheirocratus assimilis
102795,Cheirocratus intermedius
102807,Eriopisa elongata
102815,Maera grossimana
102820,Maera loveni
102831,Maerella tenuimana
102840,Melita hergensis
122314,Lineidae
102963,Harpinia crenulata
102981,Metaphoxus fultoni
103220,Talitrus saltator
103233,Urothoe marina
103443,Ascidiidae
103448,Molgulidae
103483,Ascidia
103484,Ascidiella
103509,Molgula
103548,Archidistoma aggregatum
103674,Polyclinum aurantium
103702,Ascidia conchilega
103710,Ascidia mentula
103718,Ascidiella aspersa
103732,Ciona intestinalis
103743,Corella parallelogramma
103764,Eugyra arenosa
103792,Molgula oculata
103853,Pyura tessellata
103882,Dendrodoa grossularia
103903,Polycarpa gracilis
104056,Terebratulina septentrionalis
104071,Argulus
105468,Spadella cephaloptera
106041,Balanoidea
106057,Balanidae
106126,Chthamalus
106204,Scalpellum scalpellum
106673,Brachyura
106210,Semibalanus balanoides
106213,Balanus balanus
106257,Verruca stroemia
106687,Paguroidea
106715,Palaemonoidea
106716,Pandaloidea
106760,Majidae
106889,Ebalia
106901,Eurynome
106903,Hyas
106905,Inachus
106984,Caridion
106987,Hippolyte
107011,Pontophilus
107043,Pandalina
107150,Galathea intermedia
107152,Galathea nexa
107155,Galathea strigosa
107160,Munida rugosa
107188,Pisidia longicornis
107215,Anapagurus chiroacanthus
107217,Anapagurus hyndmanni
107218,Anapagurus laevis
107226,Cestopagurus timidus
107235,Pagurus cuanensis
107240,Pagurus pubescens
107273,Atelecyclus rotundatus
122318,Carinomidae
107278,Pirimela denticulata
107292,Goneplax rhomboides
107298,Ebalia granulosa
107301,Ebalia tuberosa
107318,Eurynome aspera
107319,Eurynome spinosa
107350,Maja squinado
107392,Liocarcinus navigator
107486,Athanas nitescens
107726,Calocaris macandreae
107737,Jaxea nocturna
107564,Pontophilus spinosus
107682,Processa canaliculata
107722,Axius stirhynchus
110375,Thalassema thalassema
110387,Bodotria
110412,Eudorella
110440,Bodotria arenosa
110460,Iphinoe serrata
110474,Diastylis cornuta
110492,Diastylis tumida
110494,Diastyloides biplicatus
110514,Hemilamprops roseus
110733,Calloporidae
110550,Campylaspis legendrei
110748,Eucrateidae
110835,Porella
110975,Schizoporella
111054,Tubulipora
111062,Aetea anguina
111158,Bugula neritina
111184,Alderina imbellis
111314,Cribrilina punctata
111397,Celleporella hyalina
111418,Fenestrulina malusii
111421,Microporella ciliata
111484,Escharella immersa
111495,Escharella variolosa
111496,Escharella ventricosa
111632,Nolella dilatata
111730,Disporella hispida
112299,Astrorhiza
117228,Diphasia
117791,Leuckartiara octona
118086,Collembola
118374,Munna
118437,Gnathia
118454,Idotea
118467,Anthura gracilis
118732,Janira maculosa
118714,Ianiropsis breviremis
118766,Uromunna petiti
118757,Munna kroyeri
118839,Cirolana cranchii
118842,Conilera cylindracea
118843,Eurydice affinis
118852,Eurydice pulchra
118936,Cymodoce truncata
118994,Gnathia maxillaris
118995,Gnathia oxyuraea
119024,Astacilla longicornis
119039,Idotea balthica
119044,Idotea granulosa
119048,Idotea neglecta
119870,Leptomysis
120019,Gastrosaccus sanctus
120214,Siriella jaltensis
120039,Heteromysis (Heteromysis) norvegica
122321,Tubulanidae
122329,Tetrastemmatidae
122624,Tubulanus albocapitatus
122626,Tubulanus annulatus
122639,Tubulanus superbus
122798,Tetrastemma robertianae
123082,Echinoidea
123106,Spatangoida
123160,Echinidae
123187,Cucumariidae
123200,Ophiuridae
123390,Strongylocentrotus
123448,Labidoplax
123449,Leptosynapta
123456,Holothuria
123481,Leptopentacta
123484,Ocnus
123974,Henricia sanguinolenta
123987,Asterina gibbosa
124201,Antedon bifida
124224,Leptometra celtica
124324,Strongylocentrotus pallidus
124455,Labidoplax buskii
124418,Spatangus purpureus
124457,Labidoplax media
124670,Thyone fusus
124462,Leptosynapta bergensis
124463,Leptosynapta decaria
124639,Ocnus brunneus
124645,Ocnus lacteus
124647,Ocnus planci
124661,Pseudothyone raphanus
124676,Thyone roscovita
124710,Psolus phantapus
125027,Ophiocomina nigra
